is_female,age,race,employment_income,interest_dividend_income,pension_income,transformed_networth,wgt
0,56,3,39993.7374749499,0.0,0.0,13.157344346303304,3266.924316616246
0,56,3,48641.03206412826,0.0,0.0,13.46396529184756,3234.728015513988
0,56,3,29184.619238476953,0.0,0.0,14.579945308509124,3187.5712848240355
0,70,2,0.0,0.0,22699.148296593186,12.792747581587335,1776.9519045098082
0,70,2,0.0,0.0,22699.148296593186,13.360633542446884,1765.4366742921272
0,70,2,0.0,0.0,21618.236472945893,14.165885699754975,1798.737901885782
0,70,2,0.0,0.0,21618.236472945893,14.403297222866701,1761.6116904552407
0,70,2,0.0,0.0,22699.148296593186,9.602382464317582,1792.6142779563131
0,57,1,64854.70941883767,0.0,16213.677354709418,11.034889664287375,8217.213868243784
0,57,1,64854.70941883767,0.0,16213.677354709418,12.364784336703195,8247.743941819832
0,57,1,64854.70941883767,0.0,16213.677354709418,13.32059109121803,8878.060200571068
0,57,1,64854.70941883767,0.0,16213.677354709418,13.637340372294224,8468.1683071829
0,57,1,64854.70941883767,0.0,16213.677354709418,9.474241921661555,9015.093225257735
1,32,1,43236.47294589179,0.0,0.0,13.147797178664941,22814.84416519937
1,32,1,43236.47294589179,0.0,0.0,10.772686677315937,22114.85991960587
1,32,1,43236.47294589179,0.0,0.0,14.476134546818926,22343.582707728798
1,32,1,43236.47294589179,0.0,0.0,10.576432026429325,22309.37321903819
1,32,1,43236.47294589179,0.0,0.0,14.253765488895846,22114.676900947838
1,46,2,86472.94589178357,0.0,0.0,13.498770357914363,2680.1403691074524
1,46,2,86472.94589178357,0.0,0.0,9.579141500495348,2561.24904839545
1,46,2,86472.94589178357,0.0,0.0,14.166871407079732,2615.6384228043826
1,46,2,86472.94589178357,0.0,0.0,12.441934969267756,2612.8531139251836
1,46,2,86472.94589178357,0.0,0.0,6.400260204648842,2576.8246080739873
0,75,4,0.0,586935.120240481,65935.62124248497,10.900805123392814,445.84818684013527
0,75,4,0.0,670165.3306613227,76744.73947895791,12.57016004919643,445.45134497818174
0,75,4,0.0,583692.3847695391,71340.18036072144,10.936672036198395,449.1377795924441
0,75,4,0.0,631252.50501002,69178.35671342685,12.842331963890073,454.2483076083372
0,75,4,0.0,583692.3847695391,77825.65130260521,-10.060491303172077,453.2115604765655
0,52,1,291846.19238476956,2486.0971943887776,0.0,14.475617884446287,3424.987204048939
0,52,1,291846.19238476956,2486.0971943887776,0.0,12.659057269616419,3753.298922246365
0,52,1,291846.19238476956,2486.0971943887776,0.0,18.03298678932932,4073.2895578616785
0,52,1,291846.19238476956,2486.0971943887776,0.0,13.020950614666166,3647.50480566638
0,52,1,291846.19238476956,2486.0971943887776,0.0,9.066470014890596,3529.1493775339213
0,62,1,0.0,0.0,57288.32665330661,15.599909672786065,20117.990097100504
0,62,1,0.0,0.0,57288.32665330661,14.776698170720858,18778.053292202872
0,62,1,0.0,0.0,57288.32665330661,11.570816943475073,19062.18732969943
0,62,1,0.0,0.0,57288.32665330661,10.44929414603655,18989.536385412954
0,62,1,0.0,0.0,57288.32665330661,-10.392067568295746,18857.19436914429
0,63,1,324273.5470941884,0.0,0.0,11.378936825097643,6933.537335532109
0,63,1,324273.5470941884,0.0,0.0,12.297648589038198,8164.245833172405
0,63,1,324273.5470941884,0.0,0.0,12.281736549472653,3509.894616544761
0,63,1,324273.5470941884,0.0,0.0,13.757139644639068,7006.14154999675
0,63,1,324273.5470941884,0.0,0.0,14.400771814483413,3041.47801256415
0,57,1,0.0,1118743.7374749498,0.0,12.5360955584844,47.86585116948099
0,57,1,0.0,1130633.7675350702,0.0,11.858852860412261,47.44788337022656
0,57,1,0.0,1129552.8557114229,0.0,12.389227188645352,47.81970610352538
0,57,1,0.0,1121986.4729458918,0.0,12.814260886870336,48.78929385210064
0,57,1,0.0,1131714.6793587175,0.0,14.048208322083923,48.14878108993303
1,41,1,42155.561122244486,0.0,0.0,11.002133174259788,4083.8250436945905
1,41,1,42155.561122244486,0.0,0.0,12.751995106341983,3995.2529153865266
1,41,1,42155.561122244486,0.0,0.0,10.163541459356576,4024.661616699725
1,41,1,42155.561122244486,0.0,0.0,13.55544365254715,4023.4574220883055
