age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
74,0.0,0.0,21618.236472945893,1,2,,1.0
74,0.0,0.0,20537.324649298596,1,1,,1.0
74,0.0,0.0,17294.589178356713,1,1,,1.0
44,59450.1503006012,129.70941883767534,12970.941883767535,0,1,,1.0
44,51883.76753507014,129.70941883767534,14051.85370741483,0,1,,1.0
44,55126.503006012026,140.5185370741483,14051.85370741483,0,1,,1.0
44,48641.03206412826,129.70941883767534,14051.85370741483,0,1,,1.0
37,128628.50701402806,0.0,0.0,0,1,,1.0
37,108091.18236472947,0.0,0.0,0,1,,1.0
63,0.0,2702.2795591182366,0.0,0,1,,1.0
63,0.0,2702.2795591182366,0.0,0,1,,1.0
63,0.0,2702.2795591182366,0.0,0,1,,1.0
63,0.0,2702.2795591182366,0.0,0,1,,1.0
63,0.0,2702.2795591182366,0.0,0,1,,1.0
58,0.0,0.0,18375.501002004006,1,2,,1.0
58,0.0,0.0,18375.501002004006,1,2,,1.0
58,0.0,0.0,18375.501002004006,1,2,,1.0
58,0.0,0.0,18375.501002004006,1,2,,1.0
38,137275.8016032064,0.0,0.0,0,2,,1.0
38,147004.00801603205,0.0,0.0,0,2,,1.0
38,159974.9498997996,0.0,0.0,0,2,,1.0
38,140518.5370741483,0.0,0.0,0,2,,1.0
38,161055.8617234469,0.0,0.0,0,2,,1.0
80,0.0,1621.3677354709419,34589.178356713426,1,1,,1.0
80,0.0,1513.2765531062125,35670.09018036072,1,1,,1.0
80,0.0,3891.2825651302605,34589.178356713426,1,1,,1.0
71,0.0,2810370.741482966,46479.208416833666,0,1,,1.0
71,0.0,2730383.266533066,51883.76753507014,0,1,,1.0
71,0.0,2810370.741482966,52964.67935871743,0,1,,1.0
55,35670.09018036072,0.0,0.0,1,1,,1.0
55,38912.825651302606,0.0,0.0,1,1,,1.0
55,30265.53106212425,0.0,0.0,1,1,,1.0
51,52964.67935871743,0.0,19456.412825651303,0,3,,1.0
51,52964.67935871743,0.0,19456.412825651303,0,3,,1.0
51,52964.67935871743,0.0,19456.412825651303,0,3,,1.0
47,86472.94589178357,0.0,0.0,0,1,,1.0
47,86472.94589178357,0.0,0.0,0,1,,1.0
47,86472.94589178357,0.0,0.0,0,1,,1.0
47,86472.94589178357,0.0,0.0,0,1,,1.0
73,18375.501002004006,0.0,41074.64929859719,1,1,,1.0
73,37831.91382765531,0.0,44317.38476953908,1,1,,1.0
73,25941.88376753507,0.0,39993.7374749499,1,1,,1.0
72,0.0,0.0,32427.354709418836,0,1,,1.0
72,0.0,0.0,32427.354709418836,0,1,,1.0
72,0.0,0.0,32427.354709418836,0,1,,1.0
55,0.0,8863.476953907815,0.0,0,1,,1.0
55,0.0,8863.476953907815,0.0,0,1,,1.0
55,0.0,8863.476953907815,0.0,0,1,,1.0
55,0.0,8863.476953907815,0.0,0,1,,1.0
55,0.0,0.0,0.0,0,2,,1.0
55,0.0,0.0,0.0,0,2,,1.0
55,0.0,0.0,0.0,0,2,,1.0
55,0.0,0.0,0.0,0,2,,1.0
38,62692.885771543086,0.0,0.0,0,2,,1.0
38,62692.885771543086,0.0,0.0,0,2,,1.0
38,61611.9739478958,0.0,0.0,0,2,,1.0
38,62692.885771543086,0.0,0.0,0,2,,1.0
67,3242.7354709418837,55883.14128256513,129709.41883767534,0,1,,1.0
67,3242.7354709418837,57288.32665330661,129709.41883767534,0,1,,1.0
67,3242.7354709418837,56747.87074148296,129709.41883767534,0,1,,1.0
46,237800.6012024048,14051.85370741483,0.0,0,1,,1.0
46,237800.6012024048,13403.306613226452,0.0,0,1,,1.0
46,237800.6012024048,13295.215430861723,0.0,0,1,,1.0
