is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,79.0,1,816088.44,1097125.5,143761.27,231965100.0,47.308991148466895,19.95524466784016
0,70.0,1,0.0,0.0,12970.941,339405.0,7043.472476405472,13.428096544115654
0,64.0,1,88634.77,702.5927,0.0,1523400.0,847.0177378221637,14.929602417480876
0,49.0,1,302655.3,810.68384,0.0,1078300.0,8592.24460407056,14.584043465430325
0,65.0,1,63773.797,0.0,0.0,420480.0,6363.917172243666,13.642299375399688
1,38.0,3,0.0,0.0,0.0,513540.0,5131.9930562665595,13.842230382664605
0,48.0,1,127547.59,1297.0942,0.0,688700.0,8758.044686980085,14.135708222093262
0,68.0,1,1080911.9,1307903.2,46479.207,101616600.0,47.60492571182533,19.12986464614936
0,35.0,3,104848.445,0.0,0.0,319820.0,3120.319607904166,13.368660797075822
0,78.0,1,0.0,0.0,56207.414,640900.0,3270.72796184179,14.063775898052873
0,64.0,1,1405185.4,35345.816,0.0,9818000.0,805.3964447342391,16.792875174160084
1,29.0,1,49721.945,0.0,0.0,3700.0,6917.222476649344,8.909235297453765
0,25.0,2,11890.03,0.0,0.0,720.0,5252.172655942257,7.272398874822784
0,57.0,1,0.0,0.0,0.0,4300.0,6950.334769795607,9.05951749576242
0,73.0,1,0.0,22699.148,50802.855,10056500.0,447.3466524223033,16.81687693013536
0,78.0,3,0.0,0.0,12970.941,430.0,2649.541424887718,6.756933741327018
1,80.0,5,0.0,0.0,11890.03,75800.0,4565.076145653357,11.92900075223392
0,76.0,1,0.0,0.0,24212.426,1049600.0,15323.510657882363,14.557066877732131
0,74.0,1,501543.1,138356.72,71340.18,109451400.0,60.669826324370845,19.20413835364016
0,64.0,1,31346.443,19132.139,31346.443,4680000.0,6709.1873912241645,16.051955848453787
0,38.0,3,209696.89,0.0,0.0,32900.0,6305.87664577338,11.094375117544375
0,72.0,1,0.0,0.0,32427.355,84200.0,16298.293693874031,12.034097380825626
0,40.0,4,48641.03,0.0,0.0,11500.0,3127.958416781754,10.043249496801646
0,34.0,1,108091.18,0.0,0.0,146000.0,21195.17812474555,12.584509081262148
0,31.0,1,111333.914,0.0,0.0,1018600.0,7320.358451491712,14.527086873992827
1,80.0,1,0.0,5404.559,17294.59,310000.0,16476.77428800969,13.337474757023877
0,29.0,1,28103.707,0.0,0.0,-45700.0,3471.9168927997976,-11.423000757561946
0,43.0,1,68097.445,0.0,0.0,171700.0,13049.56978981619,12.746651227453992
